Date,Donation Source,State,Quantity Received (kg),Quantity Delivered (kg),No. of People Served,Shelter Name
2024-07-19,Community Center,Rajasthan,126.26,122.75,131,"Thar Seva Sadan, Jodhpur"
2024-07-19,Campus Canteen,Uttar Pradesh,143.32,139.45,141,"Agra Relief Center, Agra"
2024-07-19,City Restaurant,Haryana,124.3,121.77,141,"Sahara Bhawan, Karnal"
2024-07-20,Corporate Office,Himachal Pradesh,114.77,111.2,116,"Manali Niwas, Manali"
2024-07-20,Local Bakery,Jammu & Kashmir,122.02,118.64,117,"Pahalgam Aasra, Pahalgam"
2024-07-20,City Restaurant,Haryana,125.78,121.2,118,"Sukoon Sadan, Hisar"
2024-07-20,Hotel Plaza,Jammu & Kashmir,131.0,125.19,124,"Chenab Niwas, Udhampur"
2024-07-20,Campus Canteen,Delhi,131.64,126.79,146,"Umeed Ghar, Saket"
2024-07-21,City Restaurant,Haryana,123.23,120.14,132,"Mamta Ashram, Rohtak"
2024-07-21,Campus Canteen,Uttarakhand,150.95,145.1,136,"Uttarakhand Seva Kendra, Nainital"
2024-07-21,Local Bakery,Punjab,132.28,126.64,139,"Vatsal Niwas, Jalandhar"
2024-07-22,Food Corner,Delhi,109.17,104.73,121,"Snehi Niwas, Dwarka"
2024-07-22,NGO Kitchen,Uttarakhand,117.94,114.11,121,"Pahadi Niwas, Haridwar"
2024-07-22,Local Bakery,Punjab,106.52,104.07,122,"Nanak Niwas, Bathinda"
2024-07-22,Corporate Office,Himachal Pradesh,152.75,148.27,133,"Manali Niwas, Manali"
2024-07-22,Community Center,Jammu & Kashmir,146.91,141.3,144,"Jhelum Seva Sadan, Jammu"
2024-07-22,Hotel Plaza,Haryana,138.25,133.38,147,"Mamta Ashram, Rohtak"
2024-07-23,Local Bakery,Uttar Pradesh,129.95,125.06,120,"Ganga Kinara Ashram, Varanasi"
2024-07-23,Student Mess,Uttar Pradesh,133.75,130.48,122,"Prayag Seva Sadan, Prayagraj"
2024-07-23,City Restaurant,Haryana,128.76,126.01,122,"Mamta Ashram, Rohtak"
2024-07-23,Food Corner,Himachal Pradesh,141.14,134.52,138,"Manali Niwas, Manali"
2024-07-23,Campus Canteen,Rajasthan,159.23,154.4,138,"Aravalli Niwas, Ajmer"
2024-07-23,Community Center,Haryana,157.63,150.88,140,"Priya Niwas, Faridabad"
2024-07-24,Campus Canteen,Uttar Pradesh,140.02,133.64,122,"Agra Relief Center, Agra"
2024-07-24,City Restaurant,Himachal Pradesh,121.71,117.58,127,"Himalayan Aasra, Shimla"
2024-07-24,Local Bakery,Uttarakhand,123.01,118.29,127,"Pahadi Niwas, Haridwar"
2024-07-24,Student Mess,Himachal Pradesh,127.36,121.6,137,"Dharamsala Shelter, Dharamsala"
2024-07-25,Student Mess,Delhi,123.97,120.52,119,"Umeed Ghar, Saket"
2024-07-25,Marriage Hall,Himachal Pradesh,119.86,116.35,127,"Dalhousie Relief Home, Dalhousie"
2024-07-25,Food Corner,Punjab,132.52,128.27,132,"Guru Nanak Seva Sadan, Amritsar"
2024-07-25,NGO Kitchen,Haryana,148.31,142.39,132,"Mamta Ashram, Rohtak"
2024-07-25,Community Center,Rajasthan,134.33,128.4,135,"Rajwada Relief Home, Jaipur"
2024-07-25,Corporate Office,Himachal Pradesh,165.43,159.83,139,"Dharamsala Shelter, Dharamsala"
2024-07-26,Campus Canteen,Haryana,137.78,132.37,123,"Mamta Ashram, Rohtak"
2024-07-26,NGO Kitchen,Haryana,131.19,127.28,132,"Aanchal Shelter, Gurugram"
2024-07-26,Corporate Office,Haryana,131.87,128.61,132,"Priya Niwas, Faridabad"
2024-07-26,Student Mess,Delhi,125.97,122.6,137,"Prem Ashram, Lajpat Nagar"
2024-07-27,Corporate Office,Punjab,115.53,111.68,120,"Khalsa Ashram, Ludhiana"
2024-07-27,Marriage Hall,Delhi,128.28,125.66,121,"Aasra Shelter Home, Paharganj"
2024-07-27,Local Bakery,Haryana,123.78,118.19,127,"Mamta Ashram, Rohtak"
2024-07-27,Food Corner,Uttar Pradesh,141.06,136.72,136,"Prayag Seva Sadan, Prayagraj"
2024-07-27,City Restaurant,Uttar Pradesh,132.48,127.57,149,"Prayag Seva Sadan, Prayagraj"
2024-07-28,Food Corner,Uttarakhand,136.86,132.04,127,"Mandakini Ashram, Rudraprayag"
2024-07-28,Community Center,Jammu & Kashmir,150.1,145.25,128,"Banihal Relief Home, Banihal"
2024-07-28,Student Mess,Punjab,136.06,129.79,146,"Guru Nanak Seva Sadan, Amritsar"
2024-07-28,Marriage Hall,Jammu & Kashmir,152.55,148.63,146,"Pahalgam Aasra, Pahalgam"
2024-07-28,Campus Canteen,Himachal Pradesh,152.5,146.2,147,"Dharamsala Shelter, Dharamsala"
2024-07-28,City Restaurant,Haryana,151.55,144.74,151,"Mamta Ashram, Rohtak"
2024-07-29,Marriage Hall,Punjab,136.98,132.27,122,"Vatsal Niwas, Jalandhar"
2024-07-29,Food Corner,Uttar Pradesh,156.05,150.88,142,"Agra Relief Center, Agra"
2024-07-29,Community Center,Punjab,131.58,128.03,142,"Nanak Niwas, Bathinda"
2024-07-30,NGO Kitchen,Jammu & Kashmir,109.73,107.3,122,"Dal Kinara Shelter, Srinagar"
2024-07-30,Campus Canteen,Punjab,147.88,141.57,124,"Nanak Niwas, Bathinda"
2024-07-30,Food Corner,Delhi,123.35,120.24,133,"Aasra Shelter Home, Paharganj"
2024-07-30,Corporate Office,Jammu & Kashmir,130.2,124.78,139,"Jhelum Seva Sadan, Jammu"
2024-07-30,Student Mess,Haryana,161.97,156.02,143,"Sukoon Sadan, Hisar"
2024-07-30,Community Center,Punjab,152.58,145.73,148,"Khalsa Ashram, Ludhiana"
2024-07-31,Student Mess,Punjab,116.32,111.83,126,"Guru Nanak Seva Sadan, Amritsar"
2024-07-31,Local Bakery,Punjab,120.48,117.92,133,"Sewa Bhawan, Patiala"
2024-07-31,Food Corner,Rajasthan,127.31,124.08,139,"Rajwada Relief Home, Jaipur"
2024-07-31,City Restaurant,Uttarakhand,131.4,127.24,147,"Devbhumi Shelter, Dehradun"
2024-07-31,Community Center,Rajasthan,132.86,128.03,149,"Aravalli Niwas, Ajmer"
2024-07-31,Marriage Hall,Rajasthan,174.01,167.98,152,"Thar Seva Sadan, Jodhpur"
2024-07-31,Corporate Office,Himachal Pradesh,150.69,144.91,152,"Dalhousie Relief Home, Dalhousie"
2024-08-01,Student Mess,Delhi,141.19,134.57,128,"Aasra Shelter Home, Paharganj"
2024-08-01,Corporate Office,Rajasthan,127.78,122.92,137,"Rajwada Relief Home, Jaipur"
2024-08-01,Marriage Hall,Haryana,129.81,126.13,138,"Sukoon Sadan, Hisar"
2024-08-01,Local Bakery,Haryana,155.37,148.96,138,"Aanchal Shelter, Gurugram"
2024-08-01,Hotel Plaza,Uttar Pradesh,133.99,128.42,145,"Prayag Seva Sadan, Prayagraj"
2024-08-01,City Restaurant,Haryana,166.32,160.58,153,"Sukoon Sadan, Hisar"
2024-08-02,Food Corner,Haryana,121.53,117.95,125,"Sukoon Sadan, Hisar"
2024-08-02,City Restaurant,Jammu & Kashmir,131.19,125.6,130,"Banihal Relief Home, Banihal"
2024-08-02,Corporate Office,Rajasthan,151.18,145.86,130,"Thar Seva Sadan, Jodhpur"
2024-08-02,Marriage Hall,Himachal Pradesh,138.94,133.3,134,"Kullu Seva Kendra, Kullu"
2024-08-02,Local Bakery,Jammu & Kashmir,142.11,139.03,137,"Chenab Niwas, Udhampur"
2024-08-02,Community Center,Uttar Pradesh,147.0,142.28,142,"Agra Relief Center, Agra"
2024-08-02,Hotel Plaza,Rajasthan,145.25,141.21,144,"Bikaner Shelter Trust, Bikaner"
2024-08-03,Local Bakery,Rajasthan,143.29,136.67,126,"Thar Seva Sadan, Jodhpur"
2024-08-03,City Restaurant,Rajasthan,117.9,115.35,130,"Thar Seva Sadan, Jodhpur"
2024-08-03,Hotel Plaza,Rajasthan,159.89,154.68,142,"Thar Seva Sadan, Jodhpur"
2024-08-03,NGO Kitchen,Rajasthan,136.15,129.93,152,"Rajwada Relief Home, Jaipur"
2024-08-04,City Restaurant,Rajasthan,135.37,130.38,126,"Bikaner Shelter Trust, Bikaner"
2024-08-04,Hotel Plaza,Haryana,148.23,142.48,140,"Mamta Ashram, Rohtak"
2024-08-04,Community Center,Rajasthan,160.95,156.62,142,"Bikaner Shelter Trust, Bikaner"
2024-08-04,NGO Kitchen,Delhi,158.73,152.91,144,"Snehi Niwas, Dwarka"
2024-08-04,Local Bakery,Uttar Pradesh,156.13,152.05,152,"Agra Relief Center, Agra"
2024-08-04,Corporate Office,Uttarakhand,139.77,135.41,154,"Mandakini Ashram, Rudraprayag"
2024-08-05,Community Center,Haryana,131.47,128.55,127,"Priya Niwas, Faridabad"
2024-08-05,Local Bakery,Uttar Pradesh,146.9,141.94,145,"Shanti Niwas, Lucknow"
2024-08-05,Campus Canteen,Haryana,164.05,157.6,156,"Mamta Ashram, Rohtak"
2024-08-06,Local Bakery,Haryana,114.45,111.58,126,"Sukoon Sadan, Hisar"
2024-08-06,Marriage Hall,Haryana,135.74,130.3,131,"Mamta Ashram, Rohtak"
2024-08-06,Food Corner,Uttar Pradesh,155.01,150.07,141,"Prayag Seva Sadan, Prayagraj"
2024-08-06,NGO Kitchen,Rajasthan,145.34,141.4,150,"Rajwada Relief Home, Jaipur"
2024-08-06,Hotel Plaza,Uttarakhand,178.76,170.77,150,"Uttarakhand Seva Kendra, Nainital"
2024-08-06,Corporate Office,Uttarakhand,179.44,174.9,154,"Shivalik Aasra, Rishikesh"
2024-08-06,Community Center,Jammu & Kashmir,147.96,143.21,156,"Chenab Niwas, Udhampur"
2024-08-07,Marriage Hall,Rajasthan,153.48,148.6,136,"Thar Seva Sadan, Jodhpur"
2024-08-07,Student Mess,Punjab,158.45,152.71,145,"Guru Nanak Seva Sadan, Amritsar"
2024-08-07,Campus Canteen,Delhi,171.31,165.96,149,"Prem Ashram, Lajpat Nagar"
2024-08-08,Hotel Plaza,Himachal Pradesh,136.55,131.06,131,"Dalhousie Relief Home, Dalhousie"
2024-08-08,Community Center,Haryana,127.8,124.74,132,"Sahara Bhawan, Karnal"
2024-08-08,NGO Kitchen,Delhi,123.75,119.36,137,"Dil Se Sewa Kendra, Rohini"
2024-08-08,City Restaurant,Rajasthan,153.65,148.36,143,"Aravalli Niwas, Ajmer"
2024-08-08,Corporate Office,Uttar Pradesh,174.56,170.81,156,"Prayag Seva Sadan, Prayagraj"
2024-08-09,Local Bakery,Himachal Pradesh,156.2,151.41,137,"Manali Niwas, Manali"
2024-08-09,NGO Kitchen,Himachal Pradesh,170.0,162.8,144,"Dalhousie Relief Home, Dalhousie"
2024-08-09,Hotel Plaza,Delhi,172.05,164.82,144,"Snehi Niwas, Dwarka"
2024-08-09,Student Mess,Uttar Pradesh,146.91,142.52,151,"Agra Relief Center, Agra"
2024-08-10,NGO Kitchen,Rajasthan,124.35,120.51,133,"Aravalli Niwas, Ajmer"
2024-08-10,Corporate Office,Himachal Pradesh,139.82,136.79,148,"Himalayan Aasra, Shimla"
2024-08-10,Hotel Plaza,Uttar Pradesh,143.17,136.62,152,"Shanti Niwas, Lucknow"
2024-08-10,City Restaurant,Jammu & Kashmir,166.72,161.99,156,"Banihal Relief Home, Banihal"
2024-08-11,City Restaurant,Haryana,116.14,111.27,130,"Sahara Bhawan, Karnal"
2024-08-11,Hotel Plaza,Uttarakhand,133.29,129.61,134,"Shivalik Aasra, Rishikesh"
2024-08-11,Student Mess,Rajasthan,140.54,135.21,149,"Bikaner Shelter Trust, Bikaner"
2024-08-12,Corporate Office,Haryana,132.4,126.55,130,"Sukoon Sadan, Hisar"
2024-08-12,Food Corner,Haryana,161.67,155.88,140,"Sukoon Sadan, Hisar"
2024-08-12,Hotel Plaza,Uttar Pradesh,149.95,144.43,140,"Ganga Kinara Ashram, Varanasi"
2024-08-12,Campus Canteen,Uttarakhand,162.79,159.4,141,"Uttarakhand Seva Kendra, Nainital"
2024-08-12,NGO Kitchen,Uttar Pradesh,138.78,134.0,145,"Prayag Seva Sadan, Prayagraj"
2024-08-12,City Restaurant,Rajasthan,162.68,155.69,159,"Rajwada Relief Home, Jaipur"
2024-08-13,NGO Kitchen,Himachal Pradesh,140.14,133.95,140,"Dharamsala Shelter, Dharamsala"
2024-08-13,Student Mess,Uttar Pradesh,140.62,136.81,144,"Ganga Kinara Ashram, Varanasi"
2024-08-13,Marriage Hall,Uttarakhand,132.29,129.53,148,"Mandakini Ashram, Rudraprayag"
2024-08-13,Food Corner,Rajasthan,139.04,133.36,153,"Aravalli Niwas, Ajmer"
2024-08-13,Local Bakery,Punjab,142.34,139.48,153,"Vatsal Niwas, Jalandhar"
2024-08-13,Hotel Plaza,Punjab,169.71,162.2,154,"Khalsa Ashram, Ludhiana"
2024-08-14,City Restaurant,Delhi,157.95,153.05,141,"Umeed Ghar, Saket"
2024-08-14,Hotel Plaza,Punjab,145.81,140.81,146,"Vatsal Niwas, Jalandhar"
2024-08-14,Student Mess,Uttarakhand,134.42,129.19,146,"Pahadi Niwas, Haridwar"
2024-08-14,Food Corner,Jammu & Kashmir,167.35,162.65,152,"Jhelum Seva Sadan, Jammu"
2024-08-14,Local Bakery,Haryana,190.89,184.28,161,"Sahara Bhawan, Karnal"
2024-08-15,Marriage Hall,Delhi,152.99,146.55,135,"Dil Se Sewa Kendra, Rohini"
2024-08-15,Hotel Plaza,Rajasthan,159.89,154.86,135,"Thar Seva Sadan, Jodhpur"
2024-08-15,NGO Kitchen,Uttar Pradesh,153.56,149.63,138,"Ganga Kinara Ashram, Varanasi"
2024-08-15,Local Bakery,Himachal Pradesh,149.53,143.22,139,"Himalayan Aasra, Shimla"
2024-08-15,City Restaurant,Delhi,151.06,146.87,155,"Dil Se Sewa Kendra, Rohini"
2024-08-16,Hotel Plaza,Himachal Pradesh,155.86,150.67,134,"Manali Niwas, Manali"
2024-08-16,Corporate Office,Delhi,119.12,114.36,134,"Aasra Shelter Home, Paharganj"
2024-08-16,Campus Canteen,Punjab,136.3,132.14,150,"Nanak Niwas, Bathinda"
2024-08-16,Local Bakery,Uttarakhand,181.69,176.65,156,"Shivalik Aasra, Rishikesh"
2024-08-16,NGO Kitchen,Jammu & Kashmir,160.43,155.64,158,"Jhelum Seva Sadan, Jammu"
2024-08-16,City Restaurant,Delhi,191.09,184.04,161,"Aasra Shelter Home, Paharganj"
2024-08-16,Community Center,Rajasthan,168.07,163.31,161,"Mewar Ashram, Udaipur"
2024-08-17,Student Mess,Jammu & Kashmir,130.54,124.85,137,"Pahalgam Aasra, Pahalgam"
2024-08-17,Hotel Plaza,Rajasthan,156.6,153.51,151,"Aravalli Niwas, Ajmer"
2024-08-17,Local Bakery,Himachal Pradesh,140.62,136.95,151,"Kullu Seva Kendra, Kullu"
2024-08-17,Marriage Hall,Himachal Pradesh,161.82,156.77,153,"Kullu Seva Kendra, Kullu"
2024-08-17,Food Corner,Delhi,184.45,180.7,158,"Snehi Niwas, Dwarka"
2024-08-18,Food Corner,Rajasthan,151.56,147.53,143,"Bikaner Shelter Trust, Bikaner"
2024-08-18,Marriage Hall,Punjab,157.52,150.89,150,"Vatsal Niwas, Jalandhar"
2024-08-18,Corporate Office,Uttar Pradesh,165.63,160.04,154,"Vrindavan Aasra, Mathura"
2024-08-18,Community Center,Jammu & Kashmir,171.18,166.17,155,"Chenab Niwas, Udhampur"
2024-08-18,NGO Kitchen,Himachal Pradesh,144.36,140.43,161,"Dalhousie Relief Home, Dalhousie"
2024-08-18,City Restaurant,Jammu & Kashmir,167.19,162.82,162,"Jhelum Seva Sadan, Jammu"
2024-08-19,City Restaurant,Punjab,145.39,141.63,134,"Vatsal Niwas, Jalandhar"
2024-08-19,Food Corner,Haryana,126.21,123.26,138,"Mamta Ashram, Rohtak"
2024-08-19,Campus Canteen,Punjab,145.75,141.07,139,"Vatsal Niwas, Jalandhar"
2024-08-19,Local Bakery,Uttarakhand,150.09,147.09,143,"Shivalik Aasra, Rishikesh"
2024-08-19,Marriage Hall,Rajasthan,134.88,131.64,146,"Rajwada Relief Home, Jaipur"
2024-08-19,Student Mess,Delhi,132.35,128.83,148,"Prem Ashram, Lajpat Nagar"
2024-08-19,NGO Kitchen,Punjab,187.86,180.43,160,"Guru Nanak Seva Sadan, Amritsar"
2024-08-20,Local Bakery,Jammu & Kashmir,137.7,133.16,136,"Jhelum Seva Sadan, Jammu"
2024-08-20,Food Corner,Haryana,158.49,152.8,144,"Priya Niwas, Faridabad"
2024-08-20,Hotel Plaza,Himachal Pradesh,152.95,146.14,148,"Manali Niwas, Manali"
2024-08-20,Community Center,Haryana,156.74,150.37,148,"Sahara Bhawan, Karnal"
2024-08-20,Student Mess,Delhi,165.9,159.87,151,"Dil Se Sewa Kendra, Rohini"
2024-08-20,Campus Canteen,Jammu & Kashmir,146.97,140.42,160,"Dal Kinara Shelter, Srinagar"
2024-08-20,City Restaurant,Uttar Pradesh,172.44,168.88,162,"Agra Relief Center, Agra"
2024-08-21,Student Mess,Rajasthan,153.17,147.78,150,"Rajwada Relief Home, Jaipur"
2024-08-21,NGO Kitchen,Punjab,166.41,163.06,160,"Vatsal Niwas, Jalandhar"
2024-08-21,Corporate Office,Jammu & Kashmir,161.63,154.88,161,"Chenab Niwas, Udhampur"
2024-08-22,Marriage Hall,Jammu & Kashmir,154.2,151.16,150,"Dal Kinara Shelter, Srinagar"
2024-08-22,Hotel Plaza,Haryana,166.45,160.94,157,"Mamta Ashram, Rohtak"
2024-08-22,Food Corner,Haryana,175.96,168.26,160,"Sukoon Sadan, Hisar"
2024-08-23,Community Center,Jammu & Kashmir,135.9,132.63,147,"Pahalgam Aasra, Pahalgam"
2024-08-23,Student Mess,Punjab,150.99,147.98,160,"Nanak Niwas, Bathinda"
2024-08-23,NGO Kitchen,Haryana,145.79,141.2,166,"Mamta Ashram, Rohtak"
2024-08-23,Marriage Hall,Himachal Pradesh,153.72,147.82,167,"Dalhousie Relief Home, Dalhousie"
2024-08-24,Campus Canteen,Rajasthan,155.86,149.68,152,"Rajwada Relief Home, Jaipur"
2024-08-24,Community Center,Jammu & Kashmir,146.35,139.83,153,"Jhelum Seva Sadan, Jammu"
2024-08-24,Food Corner,Jammu & Kashmir,189.44,183.34,162,"Banihal Relief Home, Banihal"
2024-08-24,City Restaurant,Uttar Pradesh,174.88,170.56,165,"Ganga Kinara Ashram, Varanasi"
2024-08-25,Community Center,Jammu & Kashmir,155.68,149.27,138,"Chenab Niwas, Udhampur"
2024-08-25,Local Bakery,Jammu & Kashmir,126.64,121.12,140,"Chenab Niwas, Udhampur"
2024-08-25,Campus Canteen,Haryana,123.05,120.13,141,"Sukoon Sadan, Hisar"
2024-08-25,Corporate Office,Delhi,157.02,150.45,145,"Umeed Ghar, Saket"
2024-08-25,Hotel Plaza,Delhi,153.96,148.16,154,"Snehi Niwas, Dwarka"
2024-08-26,Food Corner,Jammu & Kashmir,177.57,171.89,152,"Dal Kinara Shelter, Srinagar"
2024-08-26,City Restaurant,Delhi,161.5,154.93,153,"Prem Ashram, Lajpat Nagar"
2024-08-26,Corporate Office,Uttar Pradesh,158.65,151.61,157,"Prayag Seva Sadan, Prayagraj"
2024-08-26,Community Center,Uttarakhand,154.62,148.42,162,"Uttarakhand Seva Kendra, Nainital"
2024-08-26,Marriage Hall,Rajasthan,179.61,172.35,166,"Rajwada Relief Home, Jaipur"
2024-08-26,Campus Canteen,Jammu & Kashmir,200.85,191.29,169,"Jhelum Seva Sadan, Jammu"
2024-08-27,Food Corner,Delhi,162.94,157.35,152,"Aasra Shelter Home, Paharganj"
2024-08-27,Corporate Office,Uttarakhand,174.83,170.83,160,"Devbhumi Shelter, Dehradun"
2024-08-27,Student Mess,Haryana,177.23,168.97,161,"Sukoon Sadan, Hisar"
2024-08-27,Local Bakery,Uttar Pradesh,182.39,175.78,164,"Agra Relief Center, Agra"
2024-08-27,Marriage Hall,Jammu & Kashmir,155.62,151.79,166,"Dal Kinara Shelter, Srinagar"
2024-08-28,Corporate Office,Delhi,140.02,133.68,141,"Aasra Shelter Home, Paharganj"
2024-08-28,NGO Kitchen,Haryana,155.75,151.91,152,"Priya Niwas, Faridabad"
2024-08-28,Marriage Hall,Uttarakhand,175.56,169.79,152,"Mandakini Ashram, Rudraprayag"
2024-08-28,Campus Canteen,Uttarakhand,173.44,167.1,153,"Pahadi Niwas, Haridwar"
2024-08-28,Hotel Plaza,Haryana,179.3,174.87,163,"Mamta Ashram, Rohtak"
2024-08-28,City Restaurant,Haryana,147.58,144.42,165,"Mamta Ashram, Rohtak"
2024-08-28,Community Center,Punjab,190.99,183.99,166,"Vatsal Niwas, Jalandhar"
2024-08-29,Student Mess,Rajasthan,170.33,164.29,143,"Bikaner Shelter Trust, Bikaner"
2024-08-29,Local Bakery,Haryana,149.52,144.28,147,"Mamta Ashram, Rohtak"
2024-08-29,Campus Canteen,Rajasthan,147.48,142.41,155,"Bikaner Shelter Trust, Bikaner"
2024-08-29,Hotel Plaza,Uttarakhand,166.4,158.6,158,"Pahadi Niwas, Haridwar"
2024-08-29,Corporate Office,Punjab,182.43,178.51,163,"Sewa Bhawan, Patiala"
2024-08-30,City Restaurant,Uttar Pradesh,164.68,160.1,151,"Ganga Kinara Ashram, Varanasi"
2024-08-30,Campus Canteen,Haryana,166.41,161.89,154,"Mamta Ashram, Rohtak"
2024-08-30,Food Corner,Uttar Pradesh,172.34,168.71,154,"Vrindavan Aasra, Mathura"
2024-08-30,Community Center,Rajasthan,146.23,141.24,155,"Aravalli Niwas, Ajmer"
2024-08-30,Marriage Hall,Delhi,142.78,137.54,159,"Dil Se Sewa Kendra, Rohini"
2024-08-30,NGO Kitchen,Uttar Pradesh,171.62,165.29,163,"Ganga Kinara Ashram, Varanasi"
2024-08-30,Corporate Office,Uttar Pradesh,183.53,175.76,168,"Prayag Seva Sadan, Prayagraj"
2024-08-31,Campus Canteen,Uttarakhand,140.6,137.78,144,"Pahadi Niwas, Haridwar"
2024-08-31,NGO Kitchen,Delhi,129.37,126.25,147,"Prem Ashram, Lajpat Nagar"
2024-08-31,Hotel Plaza,Uttarakhand,140.78,136.76,160,"Uttarakhand Seva Kendra, Nainital"
2024-08-31,Student Mess,Himachal Pradesh,195.91,187.62,167,"Kullu Seva Kendra, Kullu"
2024-09-01,Local Bakery,Uttar Pradesh,148.93,143.68,147,"Prayag Seva Sadan, Prayagraj"
2024-09-01,Student Mess,Himachal Pradesh,158.14,153.24,149,"Himalayan Aasra, Shimla"
2024-09-01,NGO Kitchen,Himachal Pradesh,160.85,156.43,152,"Dalhousie Relief Home, Dalhousie"
2024-09-01,Campus Canteen,Rajasthan,141.34,136.21,156,"Bikaner Shelter Trust, Bikaner"
2024-09-01,Food Corner,Delhi,162.0,156.86,164,"Dil Se Sewa Kendra, Rohini"
2024-09-01,Corporate Office,Haryana,190.98,186.48,166,"Aanchal Shelter, Gurugram"
2024-09-01,Marriage Hall,Punjab,161.38,155.48,170,"Sewa Bhawan, Patiala"
2024-09-02,Community Center,Delhi,173.83,166.21,149,"Dil Se Sewa Kendra, Rohini"
2024-09-02,City Restaurant,Himachal Pradesh,158.33,151.04,159,"Kullu Seva Kendra, Kullu"
2024-09-02,Campus Canteen,Himachal Pradesh,167.56,160.6,167,"Himalayan Aasra, Shimla"
2024-09-03,City Restaurant,Haryana,172.33,168.33,155,"Mamta Ashram, Rohtak"
2024-09-03,Student Mess,Uttar Pradesh,164.1,158.26,164,"Ganga Kinara Ashram, Varanasi"
2024-09-03,Corporate Office,Jammu & Kashmir,166.61,162.83,168,"Jhelum Seva Sadan, Jammu"
2024-09-03,Local Bakery,Haryana,174.12,168.67,169,"Sahara Bhawan, Karnal"
2024-09-03,Food Corner,Uttarakhand,166.6,161.75,173,"Devbhumi Shelter, Dehradun"
2024-09-04,Student Mess,Uttar Pradesh,137.12,134.04,147,"Ganga Kinara Ashram, Varanasi"
2024-09-04,Marriage Hall,Delhi,164.12,160.02,148,"Dil Se Sewa Kendra, Rohini"
2024-09-04,NGO Kitchen,Haryana,154.33,150.65,154,"Priya Niwas, Faridabad"
2024-09-04,City Restaurant,Delhi,148.48,144.46,156,"Snehi Niwas, Dwarka"
2024-09-04,Campus Canteen,Jammu & Kashmir,167.18,160.65,160,"Chenab Niwas, Udhampur"
2024-09-04,Community Center,Rajasthan,192.01,186.85,163,"Thar Seva Sadan, Jodhpur"
2024-09-04,Hotel Plaza,Uttarakhand,165.36,157.49,168,"Devbhumi Shelter, Dehradun"
2024-09-05,Campus Canteen,Jammu & Kashmir,173.0,166.76,153,"Chenab Niwas, Udhampur"
2024-09-05,Community Center,Jammu & Kashmir,154.95,149.16,157,"Jhelum Seva Sadan, Jammu"
2024-09-05,Local Bakery,Himachal Pradesh,185.26,178.81,159,"Dharamsala Shelter, Dharamsala"
2024-09-05,Hotel Plaza,Rajasthan,185.31,179.75,162,"Thar Seva Sadan, Jodhpur"
2024-09-06,Food Corner,Himachal Pradesh,149.49,143.09,147,"Kullu Seva Kendra, Kullu"
2024-09-06,Marriage Hall,Punjab,171.14,163.98,148,"Vatsal Niwas, Jalandhar"
2024-09-06,Hotel Plaza,Himachal Pradesh,142.91,136.82,159,"Kullu Seva Kendra, Kullu"
2024-09-06,Community Center,Delhi,190.24,181.4,167,"Umeed Ghar, Saket"
2024-09-07,Community Center,Jammu & Kashmir,163.38,159.33,153,"Dal Kinara Shelter, Srinagar"
2024-09-07,Local Bakery,Rajasthan,172.18,168.31,153,"Mewar Ashram, Udaipur"
2024-09-07,NGO Kitchen,Uttar Pradesh,165.0,158.65,157,"Shanti Niwas, Lucknow"
2024-09-07,City Restaurant,Himachal Pradesh,184.51,177.94,160,"Kullu Seva Kendra, Kullu"
2024-09-07,Marriage Hall,Uttarakhand,165.47,161.97,162,"Mandakini Ashram, Rudraprayag"
2024-09-08,NGO Kitchen,Jammu & Kashmir,156.45,151.0,151,"Pahalgam Aasra, Pahalgam"
2024-09-08,Student Mess,Uttarakhand,172.93,165.0,152,"Pahadi Niwas, Haridwar"
2024-09-08,Marriage Hall,Delhi,154.52,151.25,155,"Aasra Shelter Home, Paharganj"
2024-09-08,Community Center,Haryana,175.26,169.29,156,"Aanchal Shelter, Gurugram"
2024-09-08,Campus Canteen,Himachal Pradesh,152.98,146.5,164,"Kullu Seva Kendra, Kullu"
2024-09-09,Community Center,Himachal Pradesh,158.7,152.01,148,"Himalayan Aasra, Shimla"
2024-09-09,NGO Kitchen,Haryana,177.4,170.92,166,"Sukoon Sadan, Hisar"
2024-09-09,Food Corner,Rajasthan,176.74,169.44,171,"Thar Seva Sadan, Jodhpur"
2024-09-09,Local Bakery,Himachal Pradesh,163.51,156.58,172,"Dharamsala Shelter, Dharamsala"
2024-09-09,City Restaurant,Himachal Pradesh,176.28,168.21,173,"Dalhousie Relief Home, Dalhousie"
2024-09-10,Student Mess,Uttarakhand,150.98,143.95,148,"Devbhumi Shelter, Dehradun"
2024-09-10,Hotel Plaza,Delhi,167.46,161.71,152,"Snehi Niwas, Dwarka"
2024-09-10,Food Corner,Delhi,146.07,142.95,153,"Dil Se Sewa Kendra, Rohini"
2024-09-10,Corporate Office,Uttarakhand,150.03,146.08,160,"Devbhumi Shelter, Dehradun"
2024-09-10,Marriage Hall,Punjab,150.27,146.79,172,"Khalsa Ashram, Ludhiana"
2024-09-10,Community Center,Uttar Pradesh,155.72,149.38,174,"Agra Relief Center, Agra"
2024-09-11,NGO Kitchen,Uttar Pradesh,172.21,167.24,154,"Vrindavan Aasra, Mathura"
2024-09-11,Community Center,Rajasthan,182.82,174.44,154,"Rajwada Relief Home, Jaipur"
2024-09-11,Campus Canteen,Punjab,180.39,174.85,164,"Guru Nanak Seva Sadan, Amritsar"
